,name,number_of_employees,sector,headquarters,company_website,linkedin,facebook,twitter,instagram
0,Tradedoubler,24,Advertising & Marketing,Madrid,https://www.tradedoubler.com/es/,https://www.linkedin.com/company/tradedoubleresp/ ,,https://twitter.com/tradedoubler_es ,https://www.instagram.com/tradedoubler_worldwide/
1,Papa Johns,1471,Retail y consumo,Madrid,https://www.papajohns.es/,https://www.linkedin.com/company/papa-johns-espa%C3%B1a/,https://www.facebook.com/papajohnsespana,https://www.twitter.com/PapaJohns_ES,https://www.instagram.com/papajohns_es
2,Real-Time Innovations,263,Industria del Software y Servicios Informáticos – IoT (Internet of Things),Granada,https://www.rti.com/en/,https://www.linkedin.com/company/rti/,https://www.facebook.com/RTISoftware/,,https://www.instagram.com/rti_software/
3,Software DELSOL,195,Empresa Desarrolladora de Software de Gestión,Jaén,https://www.sdelsol.com/,https://es.linkedin.com/company/software-del-sol-s-a-,https://www.facebook.com/SoftwareDELSOL,https://twitter.com/softwaredelsol,
4,Grupo DKV Seguros,763,Seguros,Zaragoza,https://dkv.es/corporativo/,https://es.linkedin.com/company/dkv-salud-bienestar ,https://es-es.facebook.com/dkvseguros/,,https://www.instagram.com/dkvseguros/?hl=es
5,Incentro,71,Tecnologías de la Información,Santander y Madrid,https://www.incentro.com/es-es,https://www.linkedin.com/company/incentro,,https://twitter.com/IncentroES,https://www.instagram.com/incentroes
6,Sungrow Ibérica,52,"Energía, Medio Ambiente y Materias Primas",Navarra,https://spa.sungrowpower.com/,https://www.linkedin.com/company/sungroweurope/,,,
7,Eraneos Iberia,56,Consultoría,Madrid,http://eraneos.com/es/es,https://www.linkedin.com/company/eraneos-iberia/,,,https://www.instagram.com/eraneosiberia/?igshid=YmMyMTA2M2Y%3D
8,Green Eagle Solutions,34,Energía Renovable,Madrid,https://greeneaglesolutions.com/,https://www.linkedin.com/company/green-eagle-solutions/mycompany/,,,
9,STIHL,96,Distribución Mayorista,Madrid,http://www.stihl.es,https://www.linkedin.com/company/stihl-es,https://www.facebook.com/StihlEspana/,,http://www.instagram.com/stihl_es/?hl=es
10,Geiserpharma,33,Industria Farmacéutica,Navarra,https://geiserpharma.com,https://www.linkedin.com/company/geiserpharma/,,,
11,BERBĒS,21,Comunicación y Relaciones Públicas,Madrid,https://berbes.com/,https://www.linkedin.com/company/berb-s/,https://www.facebook.com/BERBEScom/,http://www.twitter.com/berbescom,http://instagram.com/berbescom
12,Theramex Healthcare Spain,71,Industria Farmacéutica,Madrid,https://www.theramex.com/es/, https://www.linkedin.com/company/theramex-spain/mycompany/,https://es-la.facebook.com/theramexspain/ , https://twitter.com/Theramex_Spain, https://www.instagram.com/theramex_spain/
13,Biofarmacéutica UCB,140,Biotecnología y Farmacéutico,Madrid,https://www.ucb-iberia.com/,https://www.linkedin.com/company/ucb-iberia/,,https://twitter.com/ucb_iberia?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,
14,Fersa Group,180,Automoción e Industrial,Zaragoza,http://www.fersa.com,https://es.linkedin.com/company/fersabearings,https://www.facebook.com/fersa.aftermarket,https://twitter.com/FersaBearingsES,https://www.instagram.com/fersa_bearings
15,Smart,22,Tecnología,Alicante,https://www.smart.co,https://linkedin.com/company/smart-pension,,https://twitter.com/smartpensionuk,
16,Mobilize Financial Services,195,"Banca, Finanzas y Seguros",Madrid,https://mobilize-fs.es/,https://www.linkedin.com/company/rci-bank-and-services-espana/,https://m.facebook.com/mobilizefsespana/,,https://www.instagram.com/rcibankandservices_es/
17,Heppner Spain,35,Transporte Internacional,Barcelona,https://www.heppner-group.com/es/,https://www.linkedin.com/company/heppner/?originalSubdomain=fr,,,
18,Equinix,270,Tecnología,"Madrid, Barcelona y Sevilla",https://www.equinix.es/,https://www.linkedin.com/company/equinix/,https://www.facebook.com/Equinix/,https://twitter.com/Equinix,
19,Sofinco España,230,"Servicios financieros (Banca, Finanzas y Seguros)",Madrid,https://www.sofinco.es/ ,https://www.linkedin.com/company/sofinco-espana/ ,https://www.facebook.com/Sofinco.es ,https://twitter.com/Sofinco_Es ,https://www.instagram.com/sofinco_es/ 
20,LLYC,429,Publicidad y marketing,Madrid,https://www.llorenteycuenca.com/,https://www.linkedin.com/company/llyc,https://www.facebook.com/llorenteycuenca,https://twitter.com/LlorenteyCuenca,https://www.instagram.com/llorenteycuenca/
21,Version 1,109,Consultoría de IT,Málaga,https://www.version1.com/,https://www.linkedin.com/company/version-1/,https://www.facebook.com/Version1Group/,https://twitter.com/version1,https://www.instagram.com/version1group/
22,Banca March,1383,Banca,"Palma de Mallorca y Madrid. Oficinas en Baleares, Canarias, Madrid, Comunidad Valenciana, País Vasco, Cataluña, Aragón, Andalucía y Luxemburgo",https://www.bancamarch.es/es/ ,https://www.linkedin.com/company/banca-march/ ,,https://twitter.com/bancamarch ,https://www.instagram.com/bancamarch/ 
23,Clínicas Cleardent,250,Odontología,Jaén,https://www.cleardent.es/,https://www.linkedin.com/company/clinicas-cleardent/,https://www.facebook.com/ClinicaClearDent,,https://www.instagram.com/clinicascleardent/
24,Siemens Healthineers,616,Cuidado de la salud,Madrid,https://www.siemens-healthineers.com/es,https://www.linkedin.com/company/siemens-healthineers/mycompany/,,https://twitter.com/siemenshealthes,
25,Caja Rural de Asturias,448,Banca,Asturias,https://www.cajaruraldeasturias.com/es,https://www.linkedin.com/company/crasturias/,https://www.facebook.com/CRASTURIAS/,https://twitter.com/CRASTURIAS?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://www.instagram.com/cajaruraldeasturias/
26,Uponor,88,Infraestructura y distribución de agua,"Madrid, Barcelona, Bilbao y Málaga.",https://www.uponor.com/es-es,https://www.linkedin.com/company/uponor/,,https://twitter.com/uponor_es,
27,Adamo Telecom Iberia,279,Tecnologías de la Info. y de la Comunicación (TIC),Barcelona,https://adamo.es/es,https://www.linkedin.com/company/adamo-telecom-iberia-s.a/,https://www.facebook.com/adamo.es/,https://twitter.com/adamo_es,https://www.instagram.com/adamo_es/
28,Zoocha,12,Tecnologías de la Info. y de la Comunicación (TIC),Valencia,http://ZOOCHA.COM,https://www.linkedin.com/company/zoocha-ltd/?originalSubdomain=es,,https://twitter.com/Zoocha,
29,Igeneris,37,Consultoría de Innovación y Venture Building,Madrid,https://www.igeneris.com/?lng=es-ES#,https://www.linkedin.com/company/igeneris/,,,
30,Pelayo,1037,Seguros,"Sede central en Madrid y delegaciones en diferentes capitales de provincia: Valencia, Málaga, Valladolid…",https://www.pelayo.com/teloaseguro/,https://www.linkedin.com/company/pelayo/,https://m.facebook.com/pelayosegurosoficial/,https://twitter.com/Pelayo_Seguros,https://www.instagram.com/pelayo_seguros/
31,Cigna Healthcare,2.054,"Banca, finanzas y seguros",Madrid,https://www.cignasalud.es/,,,,
32,Campari Group-España,60,Distribución mayorista de bebidas espirituosas,Barcelona,http://www.camparigroup.com,https://www.linkedin.com/company/campari-group/,https://www.facebook.com/CampariGroup,https://www.twitter.com/gruppocampari,https://www.instagram.com/camparigroup
33,DQS/,100,"Servicios Profesionales / Consultoría, Investigación y Marketing",Barcelona,https://www.dqsconsulting.com/,https://www.linkedin.com/company/dqsconsulting/mycompany/,,,
34,Air Liquide Healthcare,931,Salud,Madrid,https://es.healthcare.airliquide.com/,https://www.linkedin.com/company/airliquide/,,https://twitter.com/airliquidegroup,
35,Fabletics,48,Retail,Barcelona,https://www.fabletics.es,https://www.linkedin.com/company/fabletics/,,,https://www.instagram.com/fableticseu/?hl=es
36,JF Brands,23,Retail,Barcelona,https://www.justfab.es,https://www.linkedin.com/company/justfab/,,,https://www.instagram.com/justfabeu/?hl=en
37,Ucademy,37,Educación y Formación,,https://ucademy.com/,https://www.linkedin.com/company/ucademy-com/,,,https://instagram.com/ucademy_?igshid=YmMyMTA2M2Y=
38,Volvo Financial Services,48,"Banca, Finanzas y Seguros",Madrid,https://www.vfsco.com/es/,http://www.linkedin.com/company/volvo-financial-services,,,
39,Coface,215,"Seguros de crédito, información comercial y gestión de recobro",España,https://www.coface.es/,https://www.linkedin.com/company/coface/,https://www.facebook.com/cofaceiberica,https://twitter.com/CofaceES,
40,Intas B2B,38,Farmacéutico y Biotecnológico,Barcelona,http://intasb2b.com,https://www.linkedin.com/showcase/intas-b2b,,,
41,CIRCE – Centro Tecnológico,289,Energías renovables e innovación,Zaragoza,https://www.fcirce.es/,https://www.linkedin.com/company/circe-centro-tecnologico/mycompany/,https://www.facebook.com/fcirce/,https://twitter.com/fcirce,
42,Logiscenter,47,"Transporte, Almacenamiento y Logística",Madrid,http://www.logiscenter.com,https://www.linkedin.com/company/logiscenter/,,,
43,Coats,99,Textil,Barcelona,https://coats.com/es/,https://www.linkedin.com/company/coats/,https://www.facebook.com/coats,https://twitter.com/CoatsGroup,https://www.instagram.com/coats_group/
44,Talan,99,Consultoría de innovación y transformación digital.,Madrid y Málaga,https://talan.com/,https://www.linkedin.com/company/talan/,,,
45,Matrix Renewables,66,"Energía, Medio Ambiente y Materias Primas",Madrid,http://WWW.MATRIXRENEWABLES.COM,https://www.linkedin.com/company/matrixrenewables/,,https://twitter.com/MatrixRenewable,
46,Kiabi España,1230,Moda/Retail,Madrid,http://www.kiabi.es,https://www.linkedin.com/company/kiabi/,https://es-es.facebook.com/Kiabi.espana/,https://twitter.com/KiabiES?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,https://www.instagram.com/kiabies/?hl=es
47,LAVER,23,"Asesoría y gestión fiscal, contable, laboral y jurídica",Barcelona,http://www.laverconsultores.com,https://www.linkedin.com/company/laver-consultores,,,
48,BASE Life Science,34,Servicios profesionales,Barcelona,https://www.baselifescience.com/,,http://www.facebook.com/BASElifescience,,
49,Alnylam Pharmaceuticals Spain,27,Farmacéutico,Madrid,https://www.alnylam.com/alnylam-espana/,https://www.linkedin.com/company/alnylam-pharmaceuticals/,https://www.facebook.com/pages/Alnylam-Pharmaceuticals/116396455088949,,https://www.instagram.com/alnylampharma/
50,Grupo Vitaldent,3500 colaboradores + 2000 odontólogos colaboradores,Sanitario,Madrid,https://www.vitaldent.com/es/,https://www.linkedin.com/company/grupovitaldent/?viewAsMember=true,https://www.facebook.com/VitaldentEspana ,https://mobile.twitter.com/Vitaldent_es ,https://www.instagram.com/vitaldent_es/?hl=en
51,Laboratorios Théa,92,Farmacéutico,Barcelona,https://www.laboratoriosthea.com/,https://es.linkedin.com/company/thea-pharma-spain,,,
